start_sec,delta_power,theta_power,alpha_power,beta_power
0,0.8678621652907629,0.11199935697589594,0.010155710439449891,0.009982767293891338
30,0.8336521193411522,0.08863082265172244,0.024026499358912243,0.05369055864821342
60,0.9221765327277059,0.036598518300742997,0.019482358122548882,0.021742590849001965
90,0.8292218735609928,0.0829957741767126,0.058107559185671245,0.029674793076623417
120,0.7552609445576127,0.1476978871682636,0.06997933092931763,0.027061837344806244
150,0.7649393318947582,0.2028319956225629,0.017777192299089424,0.014451480183589518
180,0.8377180976963454,0.09718402060548777,0.01827704588568851,0.04682083581247835
210,0.9084754391469636,0.07414569155234392,0.007605874109678799,0.009772995191013647
240,0.7654236948278165,0.18683882669881055,0.02342279541934753,0.024314683054025534
270,0.8790071140061931,0.07502075420558775,0.015756659570623294,0.030215472217595844
300,0.9250547846366591,0.049697427133898936,0.01188622833544871,0.0133615598939933
330,0.9102059386077932,0.0633937199966465,0.010412679163257603,0.015987662232302673
360,0.8815661185195824,0.0906380221879153,0.012636171436001169,0.015159687856501135
390,0.8725607642965554,0.09229186606790704,0.014150960664454825,0.02099640897108239
420,0.8739878352831746,0.08716422538109585,0.014908286280592343,0.023939653055137136
450,0.8718324692131222,0.07807560116677886,0.0213018557019542,0.028790073918144636
480,0.8408335890470562,0.09938651836591819,0.024037357476604407,0.03574253511042114
510,0.8640460862246742,0.09267031645718729,0.01844759428907802,0.024836003029060222
540,0.8739701015158854,0.0897415713045169,0.01620300422185374,0.020085322957743776
570,0.8049961926663785,0.10433507535733094,0.027886036558451215,0.06278269541783932
600,0.8911472403483522,0.06078061604061374,0.017925101371240395,0.0301470422397936
630,0.8032478084214488,0.11511861916153193,0.03598514409699127,0.045648428320028
660,0.7996512848324958,0.0869056676546916,0.03963524921871101,0.07380779829410165
690,0.7716451461358983,0.1032464042862249,0.043521247107511894,0.08158720247036463
720,0.8554006364963445,0.09584796766126638,0.019488124045061003,0.029263271797328076
750,0.9130843358671968,0.056035504218033994,0.012451942803962559,0.018428217110806628
780,0.8901579579305622,0.06339453596823266,0.017208502186153184,0.02923900391505221
810,0.7738983968027463,0.11510105143284707,0.03676287922216184,0.07423767254224506
840,0.8718271107114303,0.07287838106579933,0.023082772962209185,0.03221173526056152
870,0.8917132792304266,0.07344189218940898,0.013506358713171835,0.021338469866992612
900,0.8784054300288106,0.06617702918165487,0.02017431208386014,0.035243228705674444
930,0.7043419593779396,0.1664604444801972,0.04682780984186131,0.08236978630000194
960,0.8603382470924861,0.08179312022607828,0.02133774203945146,0.03653089064198408
990,0.8427580461674273,0.08558768210874064,0.024770540203495166,0.04688373152033688
1020,0.851790091453158,0.09102034054987475,0.024435902865260845,0.0327536651317067
1050,0.9045853479699536,0.06185212217175726,0.014208244462764393,0.019354285395524768
1080,0.8852237138415914,0.058481834563502005,0.018918345262642168,0.037376106332264535
1110,0.8530763012014965,0.09293559161728136,0.02365262646462821,0.030335480716594
1140,0.7417742318263426,0.14060026546748997,0.0366030557921696,0.08102244691399758
1170,0.8428998572884739,0.09317778276598096,0.02163296912800506,0.0422893908175402
1200,0.9086316447115573,0.05605019194300715,0.015262502010781259,0.020055661334654213
1230,0.892969499166818,0.06521995873009188,0.017684325333848092,0.02412621676924205
1260,0.9154024079488682,0.05267776221107006,0.01142519005926113,0.020494639780800607
1290,0.8624037532631967,0.08138850378572897,0.019015522799260557,0.03719222015181378
1320,0.8839284761719367,0.05902826622271413,0.023253535717355587,0.03378972188799386
1350,0.8123405771242708,0.10741876664268095,0.028139683915147356,0.05210097231790082
1380,0.8201843676660627,0.08985319820518865,0.03592060423109504,0.05404182989765342
1410,0.8363248196017528,0.08730964746664849,0.02442037819340605,0.05194515473819263
1440,0.9004008196819586,0.05807853135773239,0.016801185765043376,0.024719463195265707
1470,0.8948997453590345,0.0662425752167593,0.017418624945127,0.021439054479078703
1500,0.8317403257900818,0.11049041932811625,0.0217775502868965,0.035991704594905444
1530,0.8864129827099982,0.06407835211157106,0.01961322974619853,0.02989543543223211
1560,0.8687535447967827,0.07516791995610884,0.020227194836086544,0.03585134041102215
1590,0.842776544602248,0.08797116407856304,0.024687496277803006,0.04456479504138583
